ID,Tên sách,Tác giả,Nhà xuất bản,Giá,Giá gốc,Giảm giá,Phần trăm giảm,Đánh giá,Số lượt đánh giá
233,Muôn Kiếp Nhân Sinh,Dale Carnegie,NXB Thế Giới,340079.0,395441,55362.0,14,3.5,19544
234,Dế Mèn Phiêu Lưu Ký,Nguyễn Ngọc Tư,NXB Kim Đồng,133066.0,195686,62620.0,32,4.6,1497
235,The Psychology of Money,Dale Carnegie,NXB Trẻ,390160.0,394101,3941.0,1,3.8,3661
236,Đắc Nhân Tâm,Victor Hugo,NXB Lao Động,117231.0,156308,39077.0,25,4.9,8915
237,Dế Mèn Phiêu Lưu Ký,Antoine de Saint-Exupéry,NXB Văn Học,379212.0,456882,77670.0,17,4.2,8638
238,Dế Mèn Phiêu Lưu Ký,Nguyễn Ngọc Tư,NXB Trẻ,413964.0,454906,40942.0,9,3.0,13199
239,Sherlock Holmes,Paulo Coelho,NXB Kim Đồng,232670.0,342162,109492.0,32,4.1,35
240,Think and Grow Rich,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,136748.0,204101,67353.0,33,3.8,7604
241,Không Gia Đình,Victor Hugo,NXB Trẻ,98129.0,144307,46178.0,32,3.4,18417
242,Dế Mèn Phiêu Lưu Ký,Victor Hugo,NXB Lao Động,380675.0,494383,113708.0,23,3.9,12105
243,Nhà Giả Kim,Tony Buổi Sáng,NXB Lao Động,95287.0,136124,40837.0,30,3.3,12300
244,Hoàng Tử Bé,Dale Carnegie,NXB Tổng Hợp TP.HCM,223146.0,305680,82534.0,27,4.6,9181
245,Dế Mèn Phiêu Lưu Ký,Paulo Coelho,NXB Phụ Nữ Việt Nam,365568.0,380800,15232.0,4,3.5,5601
246,The Psychology of Money,Antoine de Saint-Exupéry,NXB Trẻ,79539.0,88377,8838.0,10,4.9,14039
247,Think and Grow Rich,J.K. Rowling,NXB Văn Học,166657.0,282470,115813.0,41,3.3,3416
248,The Psychology of Money,Nguyễn Nhật Ánh,NXB Phụ Nữ Việt Nam,120692.0,227720,107028.0,47,3.8,9257
249,Đắc Nhân Tâm,James Clear,NXB Thế Giới,174899.0,277617,102718.0,37,4.1,17441
250,Deep Work,Robin Sharma,NXB Văn Học,267675.0,326433,58758.0,18,4.1,6277
251,Không Gia Đình,J.K. Rowling,NXB Văn Học,297684.0,330760,33076.0,10,3.9,12901
252,Tuổi Trẻ Đáng Giá Bao Nhiêu,Victor Hugo,NXB Thế Giới,48529.0,60661,12132.0,20,3.6,4218
253,Đắc Nhân Tâm,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,296127.0,477625,181498.0,38,3.2,2237
254,Harry Potter,Dale Carnegie,NXB Phụ Nữ Việt Nam,282032.0,386345,104313.0,27,3.7,1878
255,Cây Cam Ngọt Của Tôi,Victor Hugo,NXB Văn Học,224360.0,393614,169254.0,43,4.2,673
256,Muôn Kiếp Nhân Sinh,James Clear,NXB Văn Học,119838.0,221922,102084.0,46,5.0,7614
257,Muôn Kiếp Nhân Sinh,James Clear,NXB Văn Học,87994.0,111385,23391.0,21,4.1,18250
258,Muôn Kiếp Nhân Sinh,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,72361.0,75376,3015.0,4,3.7,7794
259,Nhà Giả Kim,Tony Buổi Sáng,NXB Văn Học,213868.0,237631,23763.0,10,4.2,15344
260,Muôn Kiếp Nhân Sinh,Robin Sharma,NXB Phụ Nữ Việt Nam,422010.0,422010,0.0,0,3.1,3105
261,Những Người Khốn Khổ,Tony Buổi Sáng,NXB Lao Động,162337.0,238731,76394.0,32,3.3,6240
262,Think and Grow Rich,James Clear,NXB Kim Đồng,278502.0,497325,218823.0,44,4.6,381
263,Nhà Giả Kim,Victor Hugo,NXB Trẻ,181377.0,335883,154506.0,46,3.0,15996
264,Những Người Khốn Khổ,Victor Hugo,NXB Văn Học,250014.0,480797,230783.0,48,4.9,8347
265,Think and Grow Rich,Nguyễn Nhật Ánh,NXB Kim Đồng,56103.0,57838,1735.0,3,4.4,3533
266,Muôn Kiếp Nhân Sinh,Nguyễn Ngọc Tư,NXB Kim Đồng,258977.0,375329,116352.0,31,3.8,3784
267,Những Người Khốn Khổ,Victor Hugo,NXB Văn Học,396036.0,488933,92897.0,19,3.8,16232
268,Tuổi Trẻ Đáng Giá Bao Nhiêu,Victor Hugo,NXB Thế Giới,217047.0,425582,208535.0,49,5.0,18650
269,Nhà Giả Kim,Dale Carnegie,NXB Văn Học,71695.0,89619,17924.0,20,3.9,12194
270,Cây Cam Ngọt Của Tôi,Robin Sharma,NXB Thế Giới,246894.0,425679,178785.0,42,4.6,3057
271,Harry Potter,Nguyễn Nhật Ánh,NXB Lao Động,51685.0,58073,6388.0,11,3.7,18880
272,Đắc Nhân Tâm,James Clear,NXB Kim Đồng,73425.0,91781,18356.0,20,3.5,6662
273,Atomic Habits,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,241324.0,438771,197447.0,45,3.8,15018
274,Tuổi Trẻ Đáng Giá Bao Nhiêu,J.K. Rowling,NXB Văn Học,294338.0,316492,22154.0,7,3.6,15477
275,Dế Mèn Phiêu Lưu Ký,Tony Buổi Sáng,NXB Kim Đồng,290265.0,353982,63717.0,18,5.0,7990
276,Dế Mèn Phiêu Lưu Ký,J.K. Rowling,NXB Lao Động,178069.0,228294,50225.0,22,3.4,12952
277,Tuổi Trẻ Đáng Giá Bao Nhiêu,Nguyễn Ngọc Tư,NXB Thế Giới,230435.0,311398,80963.0,26,4.5,19628
278,Harry Potter,J.K. Rowling,NXB Văn Học,176714.0,267748,91034.0,34,3.6,18458
279,Sherlock Holmes,James Clear,NXB Thế Giới,199537.0,293437,93900.0,32,3.8,4019
280,Sherlock Holmes,Nguyễn Nhật Ánh,NXB Thế Giới,143707.0,186633,42926.0,23,5.0,15834
281,Cây Cam Ngọt Của Tôi,Robin Sharma,NXB Thế Giới,261863.0,374090,112227.0,30,4.8,5574
282,Think and Grow Rich,J.K. Rowling,NXB Lao Động,70055.0,104560,34505.0,33,3.0,13540
283,Hoàng Tử Bé,Victor Hugo,NXB Phụ Nữ Việt Nam,241297.0,416030,174733.0,42,4.0,9629
284,Hoàng Tử Bé,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,107590.0,206903,99313.0,48,4.1,16878
285,Hoàng Tử Bé,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,184996.0,237174,52178.0,22,4.9,5929
286,Dế Mèn Phiêu Lưu Ký,Nguyễn Nhật Ánh,NXB Văn Học,338133.0,375703,37570.0,10,4.7,861
287,Atomic Habits,Nguyễn Ngọc Tư,NXB Phụ Nữ Việt Nam,136825.0,258161,121336.0,47,3.4,3329
288,Muôn Kiếp Nhân Sinh,Tony Buổi Sáng,NXB Lao Động,198522.0,218156,19634.0,9,4.3,839
289,Cây Cam Ngọt Của Tôi,J.K. Rowling,NXB Trẻ,32966.0,35447,2481.0,7,4.8,4978
290,Không Gia Đình,James Clear,NXB Tổng Hợp TP.HCM,301051.0,401401,100350.0,25,4.9,11605
291,Atomic Habits,Nguyễn Ngọc Tư,NXB Thế Giới,65199.0,91830,26631.0,29,4.4,1794
292,Không Gia Đình,Dale Carnegie,NXB Phụ Nữ Việt Nam,72983.0,82003,9020.0,11,3.5,15256
293,Deep Work,James Clear,NXB Tổng Hợp TP.HCM,158743.0,311260,152517.0,49,4.7,4686
294,Không Gia Đình,James Clear,NXB Tổng Hợp TP.HCM,232001.0,446156,214155.0,48,4.9,11882
295,Atomic Habits,Nguyễn Nhật Ánh,NXB Phụ Nữ Việt Nam,69773.0,122409,52636.0,43,3.7,10044
296,Harry Potter,J.K. Rowling,NXB Kim Đồng,300928.0,330690,29762.0,9,4.2,18480
297,Đắc Nhân Tâm,Robin Sharma,NXB Văn Học,43699.0,69363,25664.0,37,4.2,17424
298,Những Người Khốn Khổ,Nguyễn Ngọc Tư,NXB Trẻ,223511.0,354780,131269.0,37,4.8,5258
299,Nhà Giả Kim,J.K. Rowling,NXB Trẻ,60014.0,80018,20004.0,25,3.9,6620
300,Atomic Habits,J.K. Rowling,NXB Kim Đồng,194318.0,249126,54808.0,22,4.9,8083
301,Tuổi Trẻ Đáng Giá Bao Nhiêu,Paulo Coelho,NXB Kim Đồng,118794.0,177304,58510.0,33,3.0,1643
302,Deep Work,James Clear,NXB Tổng Hợp TP.HCM,93446.0,99411,5965.0,6,3.6,15186
303,Những Người Khốn Khổ,J.K. Rowling,NXB Trẻ,256471.0,284968,28497.0,10,4.0,6545
304,Đắc Nhân Tâm,Dale Carnegie,NXB Tổng Hợp TP.HCM,198582.0,202635,4053.0,2,3.2,18145
305,Cây Cam Ngọt Của Tôi,Antoine de Saint-Exupéry,NXB Lao Động,124711.0,155889,31178.0,20,4.8,19615
306,Dế Mèn Phiêu Lưu Ký,J.K. Rowling,NXB Phụ Nữ Việt Nam,39664.0,40891,1227.0,3,3.3,6747
307,The Psychology of Money,Victor Hugo,NXB Kim Đồng,93904.0,117380,23476.0,20,4.5,14856
308,Nhà Giả Kim,Robin Sharma,NXB Văn Học,120839.0,145589,24750.0,17,4.4,6356
309,Không Gia Đình,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,96076.0,129833,33757.0,26,3.6,17165
310,Nhà Giả Kim,J.K. Rowling,NXB Phụ Nữ Việt Nam,324100.0,385833,61733.0,16,3.0,4618
311,Hoàng Tử Bé,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,251957.0,449923,197966.0,44,3.7,10526
312,The Psychology of Money,Nguyễn Ngọc Tư,NXB Lao Động,350982.0,381502,30520.0,8,3.9,4315
313,Deep Work,Victor Hugo,NXB Thế Giới,61040.0,98452,37412.0,38,4.5,13007
314,Harry Potter,Dale Carnegie,NXB Trẻ,395163.0,439070,43907.0,10,4.4,10566
315,Những Người Khốn Khổ,J.K. Rowling,NXB Văn Học,40668.0,64553,23885.0,37,4.0,17922
316,Dế Mèn Phiêu Lưu Ký,Victor Hugo,NXB Văn Học,193597.0,379602,186005.0,49,4.5,9113
317,The Psychology of Money,J.K. Rowling,NXB Văn Học,241045.0,245964,4919.0,2,4.1,3088
318,Sherlock Holmes,J.K. Rowling,NXB Lao Động,77142.0,101502,24360.0,24,4.9,4971
319,Nhà Giả Kim,Antoine de Saint-Exupéry,NXB Tổng Hợp TP.HCM,160868.0,191509,30641.0,16,3.9,18038
320,Sherlock Holmes,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,87970.0,112782,24812.0,22,3.2,7751
321,Hoàng Tử Bé,Paulo Coelho,NXB Trẻ,126378.0,154120,27742.0,18,4.6,4136
322,Đắc Nhân Tâm,James Clear,NXB Tổng Hợp TP.HCM,21222.0,40811,19589.0,48,3.7,1309
323,Nhà Giả Kim,Tony Buổi Sáng,NXB Thế Giới,143519.0,154321,10802.0,7,4.8,19566
324,The Psychology of Money,Nguyễn Ngọc Tư,NXB Phụ Nữ Việt Nam,300197.0,329887,29690.0,9,4.3,7556
325,Những Người Khốn Khổ,Victor Hugo,NXB Trẻ,348641.0,491043,142402.0,29,3.3,8435
326,Dế Mèn Phiêu Lưu Ký,Tony Buổi Sáng,NXB Văn Học,230814.0,233145,2331.0,1,3.5,10146
327,Muôn Kiếp Nhân Sinh,Victor Hugo,NXB Thế Giới,339889.0,472068,132179.0,28,4.5,5104
328,Muôn Kiếp Nhân Sinh,Robin Sharma,NXB Trẻ,168841.0,286171,117330.0,41,4.0,14911
329,Hoàng Tử Bé,Nguyễn Nhật Ánh,NXB Thế Giới,294171.0,432605,138434.0,32,3.8,18267
330,Dế Mèn Phiêu Lưu Ký,Antoine de Saint-Exupéry,NXB Thế Giới,179849.0,199832,19983.0,10,4.8,13677
331,Nhà Giả Kim,Victor Hugo,NXB Lao Động,277155.0,494919,217764.0,44,4.8,18982
332,Đắc Nhân Tâm,Tony Buổi Sáng,NXB Văn Học,186068.0,372136,186068.0,50,4.2,7584
333,Đắc Nhân Tâm,Nguyễn Nhật Ánh,NXB Thế Giới,159746.0,295826,136080.0,46,3.6,15646
334,Deep Work,Nguyễn Ngọc Tư,NXB Văn Học,243965.0,259537,15572.0,6,3.8,11219
335,Không Gia Đình,J.K. Rowling,NXB Kim Đồng,262238.0,476796,214558.0,45,3.3,4876
336,Đắc Nhân Tâm,J.K. Rowling,NXB Lao Động,430786.0,448735,17949.0,4,3.0,663
337,Đắc Nhân Tâm,Robin Sharma,NXB Lao Động,254215.0,368428,114213.0,31,3.7,19193
338,Atomic Habits,Paulo Coelho,NXB Kim Đồng,238274.0,335597,97323.0,29,3.1,1043
339,Dế Mèn Phiêu Lưu Ký,J.K. Rowling,NXB Trẻ,191201.0,197114,5913.0,3,4.9,19988
340,Muôn Kiếp Nhân Sinh,James Clear,NXB Thế Giới,114816.0,171367,56551.0,33,3.4,13983
341,Hoàng Tử Bé,Nguyễn Nhật Ánh,NXB Kim Đồng,108409.0,129058,20649.0,16,4.5,16330
342,Những Người Khốn Khổ,Nguyễn Ngọc Tư,NXB Kim Đồng,355134.0,433090,77956.0,18,4.4,7525
343,Think and Grow Rich,Victor Hugo,NXB Phụ Nữ Việt Nam,265892.0,282864,16972.0,6,4.4,15806
344,Deep Work,J.K. Rowling,NXB Thế Giới,348065.0,404727,56662.0,14,4.9,9263
345,Sherlock Holmes,J.K. Rowling,NXB Văn Học,365921.0,425489,59568.0,14,4.4,848
346,Muôn Kiếp Nhân Sinh,Nguyễn Nhật Ánh,NXB Tổng Hợp TP.HCM,66277.0,87207,20930.0,24,5.0,10397
347,Dế Mèn Phiêu Lưu Ký,James Clear,NXB Trẻ,151609.0,213534,61925.0,29,3.4,1240
348,Dế Mèn Phiêu Lưu Ký,Antoine de Saint-Exupéry,NXB Lao Động,77164.0,130787,53623.0,41,4.3,18145
349,Tuổi Trẻ Đáng Giá Bao Nhiêu,Antoine de Saint-Exupéry,NXB Trẻ,44278.0,49750,5472.0,11,4.8,6522
350,Deep Work,Paulo Coelho,NXB Trẻ,155825.0,183323,27498.0,15,3.4,12022
351,Những Người Khốn Khổ,Victor Hugo,NXB Kim Đồng,312191.0,473017,160826.0,34,3.5,8006
352,Atomic Habits,J.K. Rowling,NXB Thế Giới,170293.0,189214,18921.0,10,5.0,3099
353,Tuổi Trẻ Đáng Giá Bao Nhiêu,Victor Hugo,NXB Văn Học,230620.0,240229,9609.0,4,3.8,14881
354,Muôn Kiếp Nhân Sinh,Tony Buổi Sáng,NXB Kim Đồng,243396.0,250924,7528.0,3,3.9,13871
355,The Psychology of Money,Tony Buổi Sáng,NXB Văn Học,96765.0,153596,56831.0,37,4.6,109
356,Đắc Nhân Tâm,Victor Hugo,NXB Trẻ,396114.0,421398,25284.0,6,3.2,13166
357,Sherlock Holmes,J.K. Rowling,NXB Tổng Hợp TP.HCM,113947.0,160489,46542.0,29,4.7,19732
358,Think and Grow Rich,Dale Carnegie,NXB Thế Giới,108032.0,171480,63448.0,37,4.2,16103
359,Cây Cam Ngọt Của Tôi,Robin Sharma,NXB Kim Đồng,277813.0,334715,56902.0,17,3.6,5424
360,Sherlock Holmes,Tony Buổi Sáng,NXB Văn Học,170839.0,221869,51030.0,23,3.3,6567
361,Sherlock Holmes,Victor Hugo,NXB Tổng Hợp TP.HCM,43864.0,56236,12372.0,22,3.1,5385
362,Những Người Khốn Khổ,Antoine de Saint-Exupéry,NXB Thế Giới,248808.0,394934,146126.0,37,4.0,969
363,Không Gia Đình,Antoine de Saint-Exupéry,NXB Lao Động,428224.0,486618,58394.0,12,4.7,472
364,Những Người Khốn Khổ,James Clear,NXB Trẻ,38400.0,68571,30171.0,44,4.0,18013
365,Nhà Giả Kim,Robin Sharma,NXB Lao Động,233125.0,250672,17547.0,7,3.2,137
366,Sherlock Holmes,Robin Sharma,NXB Lao Động,215286.0,341724,126438.0,37,3.9,6890
367,Không Gia Đình,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,154068.0,296284,142216.0,48,3.0,15967
368,Hoàng Tử Bé,Robin Sharma,NXB Tổng Hợp TP.HCM,117213.0,150273,33060.0,22,3.3,13230
369,Sherlock Holmes,Antoine de Saint-Exupéry,NXB Trẻ,118318.0,149769,31451.0,21,4.0,18729
370,Hoàng Tử Bé,Antoine de Saint-Exupéry,NXB Thế Giới,257321.0,306335,49014.0,16,4.0,966
371,Harry Potter,Victor Hugo,NXB Tổng Hợp TP.HCM,42947.0,56509,13562.0,24,4.8,19465
372,Dế Mèn Phiêu Lưu Ký,Tony Buổi Sáng,NXB Lao Động,205715.0,231141,25426.0,11,3.0,15520
373,Cây Cam Ngọt Của Tôi,Nguyễn Ngọc Tư,NXB Kim Đồng,287809.0,302957,15148.0,5,4.3,9308
374,Atomic Habits,Victor Hugo,NXB Lao Động,233384.0,256466,23082.0,9,4.9,1304
375,Sherlock Holmes,Robin Sharma,NXB Tổng Hợp TP.HCM,123333.0,195766,72433.0,37,3.3,17413
376,Tuổi Trẻ Đáng Giá Bao Nhiêu,Paulo Coelho,NXB Kim Đồng,122594.0,235758,113164.0,48,4.2,13804
377,Deep Work,James Clear,NXB Văn Học,140144.0,245867,105723.0,43,3.6,3247
378,Tuổi Trẻ Đáng Giá Bao Nhiêu,Antoine de Saint-Exupéry,NXB Trẻ,302149.0,368475,66326.0,18,3.7,13757
379,Nhà Giả Kim,Paulo Coelho,NXB Tổng Hợp TP.HCM,196768.0,231492,34724.0,15,4.7,19365
380,Cây Cam Ngọt Của Tôi,J.K. Rowling,NXB Lao Động,208787.0,386642,177855.0,46,4.1,8431
381,Tuổi Trẻ Đáng Giá Bao Nhiêu,Nguyễn Nhật Ánh,NXB Văn Học,182737.0,338402,155665.0,46,4.9,448
382,Dế Mèn Phiêu Lưu Ký,Dale Carnegie,NXB Tổng Hợp TP.HCM,140178.0,189430,49252.0,26,3.6,17648
383,Đắc Nhân Tâm,Nguyễn Ngọc Tư,NXB Văn Học,402707.0,415162,12455.0,3,4.1,5670
384,Think and Grow Rich,Nguyễn Nhật Ánh,NXB Thế Giới,161522.0,256384,94862.0,37,4.3,5169
385,Atomic Habits,Nguyễn Nhật Ánh,NXB Thế Giới,273180.0,329133,55953.0,17,3.4,7137
386,Sherlock Holmes,Tony Buổi Sáng,NXB Lao Động,206171.0,307718,101547.0,33,4.9,13979
387,The Psychology of Money,Robin Sharma,NXB Phụ Nữ Việt Nam,394170.0,498950,104780.0,21,3.1,6574
388,Dế Mèn Phiêu Lưu Ký,James Clear,NXB Thế Giới,408044.0,453382,45338.0,10,4.7,19700
389,Những Người Khốn Khổ,James Clear,NXB Phụ Nữ Việt Nam,463835.0,473301,9466.0,2,4.8,9782
390,Muôn Kiếp Nhân Sinh,Victor Hugo,NXB Lao Động,370709.0,394371,23662.0,6,3.8,5893
391,Hoàng Tử Bé,Victor Hugo,NXB Phụ Nữ Việt Nam,96083.0,143407,47324.0,33,4.5,15857
392,Dế Mèn Phiêu Lưu Ký,J.K. Rowling,NXB Văn Học,49529.0,63499,13970.0,22,3.8,3986
393,Tuổi Trẻ Đáng Giá Bao Nhiêu,James Clear,NXB Lao Động,81137.0,144887,63750.0,44,3.8,8695
394,Dế Mèn Phiêu Lưu Ký,Nguyễn Ngọc Tư,NXB Kim Đồng,234793.0,304926,70133.0,23,3.6,6448
395,Dế Mèn Phiêu Lưu Ký,Dale Carnegie,NXB Kim Đồng,223726.0,276205,52479.0,19,3.1,15010
396,Không Gia Đình,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,352478.0,482846,130368.0,27,4.1,5623
397,Những Người Khốn Khổ,J.K. Rowling,NXB Trẻ,114819.0,135081,20262.0,15,4.8,373
398,Sherlock Holmes,Victor Hugo,NXB Phụ Nữ Việt Nam,120730.0,149050,28320.0,19,3.7,164
399,Deep Work,Robin Sharma,NXB Phụ Nữ Việt Nam,334187.0,388589,54402.0,14,4.5,19382
400,Không Gia Đình,J.K. Rowling,NXB Phụ Nữ Việt Nam,64550.0,121793,57243.0,47,3.6,8984
401,Nhà Giả Kim,Robin Sharma,NXB Văn Học,184175.0,239188,55013.0,23,4.6,12709
402,Think and Grow Rich,Dale Carnegie,NXB Lao Động,129612.0,130921,1309.0,1,3.1,16913
403,Tuổi Trẻ Đáng Giá Bao Nhiêu,Antoine de Saint-Exupéry,NXB Trẻ,293480.0,458562,165082.0,36,3.4,12223
404,Hoàng Tử Bé,Tony Buổi Sáng,NXB Kim Đồng,268038.0,487341,219303.0,45,3.9,12114
405,Tuổi Trẻ Đáng Giá Bao Nhiêu,Paulo Coelho,NXB Lao Động,44802.0,87848,43046.0,49,3.8,14690
406,Hoàng Tử Bé,Antoine de Saint-Exupéry,NXB Kim Đồng,29745.0,35837,6092.0,17,4.0,10717
407,Tuổi Trẻ Đáng Giá Bao Nhiêu,J.K. Rowling,NXB Kim Đồng,390126.0,402192,12066.0,3,4.3,14406
408,Cây Cam Ngọt Của Tôi,J.K. Rowling,NXB Lao Động,201749.0,305680,103931.0,34,3.1,8128
409,Hoàng Tử Bé,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,270020.0,272747,2727.0,1,4.3,16537
410,Những Người Khốn Khổ,Paulo Coelho,NXB Kim Đồng,404728.0,426030,21302.0,5,3.4,12773
411,Atomic Habits,Robin Sharma,NXB Kim Đồng,262495.0,477264,214769.0,45,3.3,11974
412,Deep Work,Robin Sharma,NXB Trẻ,189499.0,231096,41597.0,18,3.1,6635
413,Những Người Khốn Khổ,Nguyễn Nhật Ánh,NXB Thế Giới,150719.0,156999,6280.0,4,4.6,18655
414,Hoàng Tử Bé,Antoine de Saint-Exupéry,NXB Kim Đồng,114943.0,119732,4789.0,4,4.4,3738
415,Dế Mèn Phiêu Lưu Ký,Victor Hugo,NXB Tổng Hợp TP.HCM,334290.0,334290,0.0,0,4.1,2114
416,Deep Work,Antoine de Saint-Exupéry,NXB Tổng Hợp TP.HCM,133717.0,252296,118579.0,47,3.1,19920
417,Không Gia Đình,Nguyễn Ngọc Tư,NXB Văn Học,195152.0,368211,173059.0,47,4.7,18085
418,The Psychology of Money,Robin Sharma,NXB Văn Học,289648.0,298606,8958.0,3,3.2,3269
419,Harry Potter,J.K. Rowling,NXB Lao Động,103582.0,203102,99520.0,49,4.7,11723
420,Harry Potter,Nguyễn Nhật Ánh,NXB Kim Đồng,245417.0,454476,209059.0,46,4.6,19059
421,Đắc Nhân Tâm,Nguyễn Nhật Ánh,NXB Thế Giới,92630.0,92630,0.0,0,3.5,16586
422,The Psychology of Money,J.K. Rowling,NXB Văn Học,294332.0,358941,64609.0,18,4.3,11394
423,Cây Cam Ngọt Của Tôi,Nguyễn Nhật Ánh,NXB Kim Đồng,354538.0,365503,10965.0,3,3.3,13514
424,Hoàng Tử Bé,Nguyễn Nhật Ánh,NXB Thế Giới,471724.0,486313,14589.0,3,4.7,18380
425,Harry Potter,Paulo Coelho,NXB Thế Giới,408976.0,454418,45442.0,10,4.1,8588
426,Cây Cam Ngọt Của Tôi,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,382544.0,415809,33265.0,8,3.0,13739
427,Dế Mèn Phiêu Lưu Ký,Dale Carnegie,NXB Thế Giới,321039.0,452167,131128.0,29,3.2,8198
428,Tuổi Trẻ Đáng Giá Bao Nhiêu,Tony Buổi Sáng,NXB Thế Giới,100016.0,114961,14945.0,13,3.4,7095
429,Đắc Nhân Tâm,Antoine de Saint-Exupéry,NXB Tổng Hợp TP.HCM,354883.0,373561,18678.0,5,5.0,19472
430,Sherlock Holmes,Dale Carnegie,NXB Phụ Nữ Việt Nam,133027.0,147808,14781.0,10,4.5,1836
431,Không Gia Đình,Nguyễn Nhật Ánh,NXB Tổng Hợp TP.HCM,449142.0,463033,13891.0,3,4.4,19761
432,Cây Cam Ngọt Của Tôi,Dale Carnegie,NXB Lao Động,62701.0,77409,14708.0,19,4.8,19148
433,Đắc Nhân Tâm,James Clear,NXB Thế Giới,31902.0,43111,11209.0,26,4.8,11626
434,Atomic Habits,Robin Sharma,NXB Lao Động,148858.0,150362,1504.0,1,3.3,7603
435,Tuổi Trẻ Đáng Giá Bao Nhiêu,Nguyễn Nhật Ánh,NXB Kim Đồng,308944.0,396082,87138.0,22,3.5,10179
436,The Psychology of Money,Antoine de Saint-Exupéry,NXB Tổng Hợp TP.HCM,281241.0,385261,104020.0,27,4.2,17037
437,Cây Cam Ngọt Của Tôi,Tony Buổi Sáng,NXB Thế Giới,418858.0,436310,17452.0,4,3.4,15621
438,Cây Cam Ngọt Của Tôi,Nguyễn Nhật Ánh,NXB Phụ Nữ Việt Nam,239858.0,352732,112874.0,32,3.3,19574
439,Nhà Giả Kim,Nguyễn Nhật Ánh,NXB Thế Giới,74812.0,95913,21101.0,22,4.3,19495
440,Muôn Kiếp Nhân Sinh,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,196088.0,288364,92276.0,32,3.1,1712
441,Sherlock Holmes,Paulo Coelho,NXB Kim Đồng,88249.0,108949,20700.0,19,4.2,3763
442,Những Người Khốn Khổ,James Clear,NXB Phụ Nữ Việt Nam,137669.0,174264,36595.0,21,4.8,3331
443,Sherlock Holmes,Robin Sharma,NXB Thế Giới,183780.0,328178,144398.0,44,3.7,17221
444,Không Gia Đình,Dale Carnegie,NXB Lao Động,231277.0,436371,205094.0,47,3.7,3742
445,Muôn Kiếp Nhân Sinh,J.K. Rowling,NXB Văn Học,74777.0,128926,54149.0,42,4.7,10098
446,Đắc Nhân Tâm,Dale Carnegie,NXB Lao Động,52315.0,59449,7134.0,12,4.5,4885
447,Hoàng Tử Bé,James Clear,NXB Thế Giới,194725.0,335733,141008.0,42,4.9,14660
448,Dế Mèn Phiêu Lưu Ký,Nguyễn Ngọc Tư,NXB Thế Giới,402728.0,423924,21196.0,5,4.5,16241
449,Những Người Khốn Khổ,Paulo Coelho,NXB Thế Giới,172560.0,191733,19173.0,10,3.2,17214
450,Nhà Giả Kim,Victor Hugo,NXB Kim Đồng,243793.0,264992,21199.0,8,4.5,5407
451,Hoàng Tử Bé,James Clear,NXB Văn Học,78937.0,79734,797.0,1,3.9,7228
452,Những Người Khốn Khổ,Paulo Coelho,NXB Trẻ,29364.0,51516,22152.0,43,5.0,11502
453,Atomic Habits,J.K. Rowling,NXB Lao Động,26757.0,43864,17107.0,39,3.7,18408
454,Hoàng Tử Bé,Antoine de Saint-Exupéry,NXB Thế Giới,77132.0,102842,25710.0,25,4.2,2608
455,Muôn Kiếp Nhân Sinh,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,209971.0,209971,0.0,0,4.2,19220
456,The Psychology of Money,J.K. Rowling,NXB Thế Giới,407136.0,496507,89371.0,18,4.7,10604
457,Hoàng Tử Bé,Victor Hugo,NXB Lao Động,378804.0,425622,46818.0,11,3.7,3047
458,Deep Work,Nguyễn Nhật Ánh,NXB Trẻ,186185.0,209197,23012.0,11,3.8,10061
459,Dế Mèn Phiêu Lưu Ký,Robin Sharma,NXB Kim Đồng,82749.0,87104,4355.0,5,4.2,11190
460,Muôn Kiếp Nhân Sinh,J.K. Rowling,NXB Phụ Nữ Việt Nam,203971.0,299957,95986.0,32,4.0,10042
461,Tuổi Trẻ Đáng Giá Bao Nhiêu,Robin Sharma,NXB Kim Đồng,112889.0,115193,2304.0,2,3.1,131
462,Think and Grow Rich,Antoine de Saint-Exupéry,NXB Thế Giới,234451.0,249416,14965.0,6,3.7,2845
463,Muôn Kiếp Nhân Sinh,J.K. Rowling,NXB Lao Động,447532.0,456665,9133.0,2,3.8,12409
464,Không Gia Đình,James Clear,NXB Văn Học,170546.0,334403,163857.0,49,3.8,19613
465,The Psychology of Money,Dale Carnegie,NXB Phụ Nữ Việt Nam,69122.0,100177,31055.0,31,3.4,8025
